Old,GEO_ID,NAME,Aggregate Travel Time to work in Minutes
0500000US01001 ,01001 ,"Autauga County, Alabama",664440
0500000US01003,01003,"Baldwin County, Alabama",2489920
0500000US01005,01005,"Barbour County, Alabama",216505
0500000US01007,01007,"Bibb County, Alabama",232420
0500000US01009,01009,"Blount County, Alabama",788030
0500000US01013,01013,"Butler County, Alabama",180575
0500000US01015,01015,"Calhoun County, Alabama",1138030
0500000US01017,01017,"Chambers County, Alabama",328050
0500000US01019,01019,"Cherokee County, Alabama",283550
0500000US01021,01021,"Chilton County, Alabama",526515
0500000US01023,01023,"Choctaw County, Alabama",158130
0500000US01025,01025,"Clarke County, Alabama",196320
0500000US01027,01027,"Clay County, Alabama",145135
0500000US01029,01029,"Cleburne County, Alabama",179650
0500000US01031,01031,"Coffee County, Alabama",510380
0500000US01033,01033,"Colbert County, Alabama",527715
0500000US01035,01035,"Conecuh County, Alabama",113570
0500000US01037,01037,"Coosa County, Alabama",109590
0500000US01039,01039,"Covington County, Alabama",349555
0500000US01041,01041,"Crenshaw County, Alabama",142920
0500000US01043,01043,"Cullman County, Alabama",953465
0500000US01045,01045,"Dale County, Alabama",416415
0500000US01047,01047,"Dallas County, Alabama",355580
0500000US01049,01049,"DeKalb County, Alabama",726965
0500000US01051,01051,"Elmore County, Alabama",958535
0500000US01053,01053,"Escambia County, Alabama",272390
0500000US01055,01055,"Etowah County, Alabama",1011580
0500000US01057,01057,"Fayette County, Alabama",182765
0500000US01059,01059,"Franklin County, Alabama",350385
0500000US01061,01061,"Geneva County, Alabama",280590
0500000US01063,01063,"Greene County, Alabama",74975
0500000US01065,01065,"Hale County, Alabama",183830
0500000US01067,01067,"Henry County, Alabama",178180
0500000US01069,01069,"Houston County, Alabama",943695
0500000US01071,01071,"Jackson County, Alabama",507105
0500000US01073,01073,"Jefferson County, Alabama",6869850
0500000US01075,01075,"Lamar County, Alabama",124005
0500000US01077,01077,"Lauderdale County, Alabama",1016725
0500000US01079,01079,"Lawrence County, Alabama",379305
0500000US01081,01081,"Lee County, Alabama",1652165
0500000US01083,01083,"Limestone County, Alabama",1146065
0500000US01085,01085,"Lowndes County, Alabama",105795
0500000US01087,01087,"Macon County, Alabama",174960
0500000US01089,01089,"Madison County, Alabama",3701055
0500000US01091,01091,"Marengo County, Alabama",176240
0500000US01093,01093,"Marion County, Alabama",299150
0500000US01095,01095,"Marshall County, Alabama",954525
0500000US01097,01097,"Mobile County, Alabama",4207955
0500000US01099,01099,"Monroe County, Alabama",136445
0500000US01101,01101,"Montgomery County, Alabama",1939470
0500000US01103,01103,"Morgan County, Alabama",1176355
0500000US01105,01105,"Perry County, Alabama",53800
0500000US01107,01107,"Pickens County, Alabama",229110
0500000US01109,01109,"Pike County, Alabama",263620
0500000US01111,01111,"Randolph County, Alabama",240530
0500000US01113,01113,"Russell County, Alabama",579545
0500000US01115,01115,"St. Clair County, Alabama",1142420
0500000US01117,01117,"Shelby County, Alabama",2881215
0500000US01119,01119,"Sumter County, Alabama",102740
0500000US01121,01121,"Talladega County, Alabama",822640
0500000US01123,01123,"Tallapoosa County, Alabama",435370
0500000US01125,01125,"Tuscaloosa County, Alabama",2268900
0500000US01127,01127,"Walker County, Alabama",697125
0500000US01129,01129,"Washington County, Alabama",167610
0500000US01131,01131,"Wilcox County, Alabama",83200
0500000US01133,01133,"Winston County, Alabama",274235